Raipur Institute Of Technol..,+(91)-9329773028,4.4,52,"NH 06, Chhataud, Raipur-Chhattisgarh - 493116",
Itm University,+(91)-9685570286,3.8,98,"3rd Floor, Shyam Plaza, Pandri, Raipur, Raipur-chhattisgarh - 492001, Near New Bus Stand",
Shri Rawatpura Sarkar Unive..,+(91)-9152806657,4.8,3,"New Dhamtari Road  Village Dhaneli, Mana, Raipur-Chhattisgarh - 492015, Near Sadani Darbar",
National Institute Of Techn..,+(91)-771-2254200,4.3,522,"G E Road, Ravi Shankar University, Raipur-Chhattisgarh - 492010, Near Saraswati Nagar",
Central College Of Engineer..,+(91)-771-2322401,4.0,204,"Raipur Ho, Raipur-Chhattisgarh - 492001, Near Mowa Bazar, R K Mall, Kabir Nagar",
Rungta College Of Engineeri..,+(91)-7716666666,3.8,183,"Ward No.1,Veer Sawarkar Nagar, Raipur, Raipur-Chhattisgarh - 492009, Behind Nandan Van",
Shri Shankracharya Institut..,+(91)-771-2772989,3.8,178,"Old Dhamtari Road, Sejbahar, Raipur-Chhattisgarh - 492015, Mujgahan",
Columbia Institute Of Engin..,+(91)-7716888887,3.6,159,"Vidhan Sabha, Chhapora, Raipur-chhattisgarh - 493111, Near Vidhan Sabha, Tekari",
The Government Engineering ..,+(91)-7712102860,4.0,140,"Old Dhamtari Road, Sejbahar, Raipur-chhattisgarh - 492015",
Kruti Institute Of Technolo..,+(91)-9755549647,3.6,137,"Vidhan Sabha Road, Nardaha, Raipur-Chhattisgarh - 493111",
Mats University,+(91)-0771-4078995,3.8,101,"MATS Tower, Pandri Road, Pandri, Raipur-Chhattisgarh - 492004, New Bus Stand",
Bhilai Institute Of Technol..,+(91)-771-2120231,3.8,97,"Kendri, Raipur-Chhattisgarh - 493661, Near Rajdhani Dhaba",
Bios Education,+(91)-0771-4011112,4.6,82,"House No-15/1219, 1st Floor, 0, Raipur Ho, Raipur-Chhattisgarh - 492001, Near Rajkumar College Gate No-01",
